id,name,country,position,second_position,club,age,born,matches_played,matches_started,minutes_played,goals,assists,goals_and_assists,yellow_cards,red_cards
97,Latif Blessing,GHA,Forward,Midfielder,Houston Dynamo,27,1996,27,12,986,5,1,6,1,0
98,Njabulo Blom,RSA,Midfielder,,St. Louis,24,1999,16,11,877,1,0,1,4,0
99,Emmanuel Boateng,GHA,Forward,,NE Revolution,30,1994,23,8,706,2,2,4,3,0
100,Isaac Boehmer,USA,Keeper,,Vancouver W'caps,22,2001,1,1,90,0,0,0,0,0
101,Mateusz Bogusz,POL,Forward,,LAFC,22,2001,32,31,"2,610",15,6,21,6,0
102,Moïse Bombito,CAN,Defender,,Colorado Rapids,23,2000,18,17,"1,548",2,0,2,3,0
103,Alex Bono,USA,Keeper,,D.C. United,29,1994,29,29,"2,610",0,0,0,0,0
104,Shanyder Borgelin,HAI,Forward,Midfielder,Inter Miami,22,2001,6,1,137,0,0,0,0,0
105,Dylan Borrero,COL,Forward,Midfielder,NE Revolution,22,2002,17,10,943,1,3,4,4,1
106,Denis Bouanga,GAB,Forward,,LAFC,29,1994,32,30,"2,753",20,9,29,3,0
107,Ousseni Bouda,BFA,Forward,,SJ Earthquakes,23,2000,12,3,374,1,0,1,1,0
108,Aaron Boupendza,GAB,Forward,Midfielder,FC Cincinnati,27,1996,14,5,553,2,1,3,2,0
109,Giuseppe Bovalina,AUS,Defender,Forward,Vancouver W'caps,19,2004,11,1,173,0,0,0,0,0
110,Michael Boxall,NZL,Defender,,Minnesota Utd,35,1988,32,32,"2,835",1,0,1,9,0
111,Tyler Boyd,USA,Forward,Midfielder,Nashville SC,29,1994,21,13,"1,133",2,2,4,2,0
112,Christopher Brady,USA,Keeper,,Chicago Fire,19,2004,33,33,"2,970",0,1,1,2,0
113,Alejandro Bran,CRC,Midfielder,,Minnesota Utd,22,2001,11,6,430,1,0,1,3,0
114,Claudio Bravo,ARG,Defender,,Portland Timbers,26,1997,22,19,"1,593",0,2,2,3,0
115,David Brekalo,SVN,Defender,,Orlando City,25,1998,19,12,"1,131",1,0,1,1,0
116,Luke Brennan,USA,Forward,Defender,Atlanta Utd,18,2005,7,0,150,0,0,0,1,0
117,Sebastian Breza,CAN,Keeper,,CF Montréal,25,1998,1,1,90,0,0,0,0,0
118,Yannick Bright,ITA,Midfielder,,Inter Miami,22,2001,23,14,"1,408",0,2,2,4,0
119,Andrew Brody,USA,Defender,,Real Salt Lake,28,1995,33,23,"2,108",0,1,1,0,0
120,Brandt Bronico,USA,Midfielder,,Charlotte,28,1995,25,19,"1,734",1,5,6,4,0
121,Lachlan Brook,AUS,Forward,,Real Salt Lake,22,2001,7,3,234,0,0,0,1,0
122,Javain Brown,JAM,Defender,,Vancouver W'caps,24,1999,16,11,968,0,1,1,1,0
123,Javain Brown,JAM,Defender,,Real Salt Lake,24,1999,6,4,333,0,0,0,1,0
124,Gastón Brugman,URU,Midfielder,,LA Galaxy,31,1992,22,12,"1,186",0,1,1,5,0
125,Pavel Bucha,CZE,Midfielder,,FC Cincinnati,25,1998,33,33,"2,913",4,2,6,5,0
126,Noel Buck,ENG,Midfielder,Forward,NE Revolution,18,2005,13,7,537,1,1,2,0,0
127,Dawid Bugaj,POL,Defender,,CF Montréal,19,2004,5,2,160,0,0,0,0,0
128,Osman Bukari,GHA,Forward,Midfielder,Austin,25,1998,9,8,614,1,2,3,1,0
129,Teal Bunbury,USA,Forward,,Nashville SC,33,1990,27,12,"1,150",3,2,5,1,0
130,Cory Burke,JAM,Forward,,NY Red Bulls,32,1991,18,1,298,1,1,2,2,0
131,Roman Bürki,SUI,Keeper,,St. Louis,33,1990,32,32,"2,821",0,0,0,0,0
132,Evan Bush,USA,Keeper,,Columbus Crew,37,1986,2,2,124,0,0,0,1,0
133,Sergio Busquets,ESP,Midfielder,Defender,Inter Miami,35,1988,30,27,"2,484",1,4,5,7,1
134,Brandon Bye,USA,Defender,,NE Revolution,28,1995,13,10,787,1,1,2,0,0
135,Nathan Byrne,ENG,Defender,,Charlotte,31,1992,31,31,"2,790",0,2,2,6,0
136,Kevin Cabral,FRA,Forward,Midfielder,Colorado Rapids,24,1999,23,18,"1,309",5,2,7,4,1
137,Martín Cáceres,URU,Defender,,LA Galaxy,36,1987,15,14,"1,070",0,0,0,3,1
138,Deiber Caicedo,COL,Forward,Defender,Vancouver W'caps,23,2000,5,1,126,0,0,0,0,0
139,Noel Caliskan,GER,Midfielder,,Real Salt Lake,23,2000,5,2,202,0,0,0,0,0
140,Drake Callender,USA,Keeper,,Inter Miami,26,1997,32,32,"2,880",0,0,0,0,0
141,Rudy Camacho,FRA,Defender,,Columbus Crew,32,1991,28,27,"2,311",1,1,2,5,1
142,Brandon Cambridge,USA,Forward,,Charlotte,21,2002,4,0,30,0,0,0,0,0
143,Leonardo Campana,ECU,Forward,,Inter Miami,23,2000,28,14,"1,280",8,2,10,6,0
144,George Campbell,USA,Defender,,CF Montréal,22,2001,28,25,"2,197",0,2,2,8,0
145,Omar Campos,MEX,Defender,Midfielder,LAFC,21,2002,27,17,"1,612",0,2,2,1,0
146,Reggie Cannon,USA,Defender,,Colorado Rapids,25,1998,6,4,343,1,0,1,1,0
147,Russell Canouse,USA,Midfielder,Defender,D.C. United,28,1995,2,0,15,0,0,0,0,0
148,Felipe Carballo,URU,Midfielder,,NY Red Bulls,27,1996,8,5,449,0,0,0,2,0
149,Nathan Cardoso,BRA,Defender,,Seattle Sounders FC,28,1995,4,1,90,0,0,0,0,0
150,Wikelman Carmona,VEN,Midfielder,Forward,NY Red Bulls,20,2003,24,18,"1,593",3,4,7,2,0
151,Julián Carranza,ARG,Forward,,Philadelphia Union,23,2000,12,11,"1,073",6,0,6,5,0
152,Adalberto Carrasquilla,PAN,Forward,Midfielder,Houston Dynamo,25,1998,28,26,"2,294",3,5,8,6,0
153,Wilder Cartagena,PER,Midfielder,Defender,Orlando City,29,1994,27,25,"2,192",0,1,1,7,0
154,Javier Casas,USA,Midfielder,,Chicago Fire,20,2003,1,0,1,0,0,0,0,0
155,Julio Cascante,CRC,Defender,,Austin,30,1993,25,21,"1,867",2,0,2,11,0
156,Robert Castellanos,USA,Defender,,Sporting KC,25,1998,14,10,"1,034",1,0,1,2,0
157,Roman Celentano,USA,Keeper,,FC Cincinnati,23,2000,30,30,"2,700",0,0,0,1,0
158,Edwin Cerrillo,USA,Midfielder,,LA Galaxy,23,2000,33,24,"2,082",1,0,1,7,0
159,Dylan Chambost,FRA,Midfielder,Forward,Columbus Crew,26,1997,10,6,552,0,4,4,0,0
160,Tomás Chancalay,ARG,Forward,,NE Revolution,25,1999,12,11,929,2,1,3,4,0
161,Maikel Chang,CUB,Forward,Midfielder,Real Salt Lake,32,1991,22,3,368,0,3,3,2,0
162,Maxime Chanot,LUX,Defender,,LAFC,34,1989,23,15,"1,333",0,2,2,5,0
163,Diego Chará,COL,Midfielder,,Portland Timbers,37,1986,32,28,"2,424",0,0,0,9,1
164,Gabriel Chaves,BRA,Forward,,LA Galaxy,22,2001,33,30,"2,727",16,12,28,1,0
